frame,time,temp,a0,temp_pres,pressure,altitude,humidity,temp_hum
163,100900,40.63,1023,22.40,99466,156.02,28.10,22.80
164,101519,41.13,1023,22.40,99467,155.85,28.10,22.80
165,102133,41.13,1023,22.40,99471,155.94,28.10,22.80
166,102756,41.50,1023,22.40,99465,156.28,28.10,22.80
167,103371,41.50,1023,22.40,99470,155.77,28.10,22.80
168,103989,41.94,1023,22.40,99463,155.77,28.10,22.80
169,104604,41.94,1023,22.40,99468,155.52,28.10,22.80
170,105219,42.56,1023,22.40,99470,155.85,28.10,22.80
171,105833,42.56,1023,22.40,99469,156.28,28.10,22.80
172,106451,43.25,1023,22.40,99469,156.28,28.00,22.80
173,107066,43.25,1023,22.40,99468,155.77,28.00,22.80
174,107681,43.88,1023,22.40,99470,155.35,28.00,22.80
175,108304,43.88,1023,22.40,99469,155.77,28.00,22.80
176,108922,44.50,1023,22.40,99470,155.77,28.00,22.80
177,109537,44.50,1021,22.40,99468,155.69,28.00,22.80
178,110152,45.00,1023,22.40,99469,155.94,28.00,22.80
179,110767,45.00,1022,22.40,99463,156.11,28.00,22.80
180,111385,45.63,1023,22.40,99466,156.28,27.90,22.80
181,112000,45.63,1023,22.40,99466,155.94,27.90,22.80
182,112615,46.31,1023,22.40,99471,155.35,27.90,22.80
183,113229,46.31,1023,22.40,99463,155.60,27.90,22.80
184,113848,46.94,1023,22.40,99467,155.60,27.90,22.80
185,114470,46.94,1023,22.40,99468,155.77,27.90,22.80
186,115085,47.44,1023,22.40,99471,155.69,27.90,22.80
187,115700,47.44,1023,22.40,99468,155.69,27.90,22.80
188,116319,47.88,1023,22.40,99469,155.69,27.90,22.80
189,116933,47.88,1022,22.40,99462,155.94,27.90,22.80
190,117549,48.44,1023,22.40,99469,155.60,27.90,22.80
191,118163,48.44,1023,22.40,99464,155.85,27.90,22.80
192,118781,48.94,1023,22.40,99464,155.85,28.00,22.90
193,119396,48.94,1023,22.40,99467,155.69,28.00,22.90
194,120018,49.56,1023,22.40,99471,155.77,28.00,22.90
195,120634,49.56,1023,22.40,99472,155.77,28.00,22.90
196,121251,50.13,1023,22.40,99474,155.69,27.90,22.80
197,121867,50.13,1023,22.40,99473,155.77,27.90,22.80
198,122481,50.69,1023,22.40,99468,155.77,27.90,22.80
199,123096,50.69,1023,22.40,99467,155.77,27.90,22.80
200,123714,51.38,1023,22.40,99468,155.94,27.90,22.80
201,124328,51.38,1023,22.50,99465,155.77,27.90,22.80
202,124944,52.06,1022,22.40,99469,155.77,27.90,22.80
203,125558,52.06,1023,22.40,99468,156.11,27.90,22.80
204,126185,52.63,1023,22.40,99466,155.85,27.90,22.80
205,126799,52.63,1023,22.40,99473,155.77,27.90,22.80
206,127414,53.13,1023,22.40,99466,156.19,27.90,22.80
207,128029,53.13,1023,22.40,99468,156.11,27.90,22.80
208,128647,53.50,1023,22.50,99469,155.60,28.00,22.90
209,129262,53.50,1023,22.40,99473,156.19,28.00,22.90
210,129876,54.00,1023,22.50,99467,155.77,28.00,22.90
211,130491,54.00,1023,22.40,99473,155.60,28.00,22.90
212,131109,54.56,1023,22.50,99472,155.09,27.90,22.90
213,131733,54.56,1023,22.50,99461,155.69,27.90,22.90
214,132347,55.13,1023,22.50,99467,155.85,27.90,22.90
215,132962,55.13,1023,22.50,99465,155.60,27.90,22.90
216,133580,55.56,1023,22.50,99468,155.69,27.90,22.90
217,134195,55.56,1023,22.50,99470,155.85,27.90,22.90
218,134810,56.00,1022,22.50,99468,155.85,27.90,22.90
219,135425,56.00,1023,22.50,99460,155.94,27.90,22.90
220,136043,56.38,1022,22.50,99466,156.02,27.90,22.90
221,136657,56.38,1023,22.50,99470,155.94,27.90,22.90
222,137272,56.81,1023,22.50,99469,156.02,27.90,22.90
223,137895,56.81,1023,22.50,99467,156.11,27.90,22.90
224,138513,57.13,1023,22.50,99466,155.35,27.90,22.90
225,139128,57.13,1023,22.50,99472,155.52,27.90,22.90
226,139743,57.44,1023,22.50,99468,155.77,27.90,22.90
227,140357,57.44,1022,22.50,99467,156.11,27.90,22.90
228,140976,57.81,1022,22.50,99468,155.77,27.80,22.80
229,141590,57.81,1023,22.50,99468,155.60,27.80,22.80
230,142204,58.13,1023,22.50,99470,155.77,27.80,22.80
231,142820,58.13,1023,22.50,99472,155.85,27.80,22.80
232,143544,58.50,1022,22.50,99471,155.77,27.90,22.90
233,144159,58.50,1023,22.50,99469,156.02,27.90,22.90
234,144774,59.06,1023,22.50,99467,156.36,27.90,22.90
235,145388,59.06,1023,22.50,99469,155.52,27.90,22.90
236,146007,59.63,1023,22.50,99474,155.69,27.90,22.80
237,146621,59.63,1023,22.50,99467,155.69,27.90,22.80
238,147235,60.25,1023,22.50,99469,155.18,27.90,22.80
239,147851,60.25,1023,22.50,99468,156.45,27.90,22.80
240,148469,60.75,1023,22.50,99466,155.69,27.90,22.90
241,149084,60.75,1023,22.50,99468,155.94,27.90,22.90
242,149706,61.31,1023,22.50,99471,155.69,27.90,22.90
243,150321,61.31,1023,22.50,99469,155.85,27.90,22.90
244,150939,61.94,1023,22.50,99465,155.52,27.80,22.90
245,151555,61.94,1022,22.50,99473,156.11,27.80,22.90
246,152169,62.56,1023,22.50,99466,155.43,27.80,22.90
247,152783,62.56,1023,22.50,99466,155.18,27.80,22.90
248,153402,63.13,1023,22.50,99466,155.85,27.70,22.80
249,154017,63.13,1023,22.50,99469,155.94,27.70,22.80
250,154632,63.69,1023,22.50,99469,155.85,27.70,22.80
251,155254,63.69,1022,22.50,99465,155.85,27.70,22.80
252,155873,64.38,1023,22.50,99467,156.36,27.70,22.90
253,156487,64.38,1023,22.50,99471,155.77,27.70,22.90
254,157103,65.06,1022,22.50,99467,155.69,27.70,22.90
255,157717,65.06,1023,22.50,99471,156.19,27.70,22.90
256,158336,65.63,1023,22.50,99469,155.69,27.70,22.90
257,158950,65.63,1023,22.50,99467,155.77,27.70,22.90
258,159565,66.19,1023,22.50,99468,155.94,27.70,22.90
259,160180,66.19,1023,22.50,99467,155.69,27.70,22.90
260,160798,66.69,1023,22.50,99470,155.52,27.70,22.90
261,161421,66.69,1023,22.50,99469,155.35,27.70,22.90
262,162036,67.13,1022,22.50,99463,155.85,27.70,22.90
263,162651,67.13,1023,22.50,99468,156.02,27.70,22.90
264,163269,67.69,1023,22.50,99470,155.69,27.70,22.90
265,163885,67.69,1023,22.50,99468,155.94,27.70,22.90
266,164499,68.31,1023,22.50,99471,155.60,27.70,22.90
267,165113,68.31,1023,22.50,99470,156.02,27.70,22.90
268,165732,68.94,1023,22.50,99470,155.77,27.70,22.90
269,166347,68.94,1023,22.50,99467,155.77,27.70,22.90
270,166970,69.56,1023,22.50,99471,155.94,27.70,22.90
271,167584,69.56,1023,22.50,99468,155.52,27.70,22.90
272,168203,70.13,1023,22.50,99469,155.60,27.70,22.90
273,168818,70.13,1023,22.50,99469,155.69,27.70,22.90
274,169433,70.75,1022,22.50,99468,156.11,27.70,22.90
275,170047,70.75,1023,22.50,99473,155.60,27.70,22.90
276,170665,71.31,1023,22.50,99469,155.77,27.70,22.90
277,171281,71.31,1023,22.50,99467,155.69,27.70,22.90
278,171895,71.88,1023,22.50,99467,155.85,27.70,22.90
279,172511,71.88,1023,22.50,99466,156.11,27.70,22.90
280,173136,72.50,1023,22.50,99466,156.45,27.60,22.90
281,173751,72.50,1023,22.50,99464,155.69,27.60,22.90
282,174366,73.13,1023,22.50,99470,155.43,27.60,22.90
283,174981,73.13,1023,22.50,99464,155.85,27.60,22.90
284,175599,73.75,1022,22.50,99471,155.60,27.60,22.90
285,176214,73.75,1023,22.50,99466,155.69,27.60,22.90
286,176829,74.38,1023,22.50,99468,155.77,27.60,22.90
287,177443,74.38,1023,22.50,99466,155.94,27.60,22.90
288,178062,75.00,1023,22.50,99472,155.09,27.60,22.90
289,178684,75.00,1023,22.50,99475,155.43,27.60,22.90
290,179299,75.50,1023,22.50,99471,155.18,27.60,22.90
291,179914,75.50,1023,22.60,99467,155.52,27.60,22.90
292,180533,76.06,1023,22.50,99471,155.77,27.70,22.90
293,181147,76.06,1023,22.50,99465,155.69,27.70,22.90
294,181762,76.63,1023,22.50,99469,155.60,27.70,22.90
295,182377,76.63,1023,22.60,99469,155.69,27.70,22.90
296,182995,77.19,1023,22.50,99469,155.26,27.80,22.90
297,183610,77.19,1023,22.60,99472,155.52,27.80,22.90
298,184224,77.81,1023,22.60,99470,155.26,27.80,22.90
299,184848,77.81,1023,22.60,99469,155.43,27.80,22.90
300,185465,78.44,1023,22.60,99473,155.43,27.70,22.90
301,186081,78.44,1023,22.60,99472,155.35,27.70,22.90
302,186695,79.00,1023,22.60,99468,155.43,27.70,22.90
303,187311,79.00,1023,22.60,99472,155.18,27.70,22.90
304,187928,79.56,1023,22.60,99469,155.01,28.20,23.00
305,188544,79.56,1023,22.60,99468,155.69,28.20,23.00
306,189158,80.13,1022,22.60,99472,155.43,28.20,23.00
307,189772,80.13,1023,22.60,99468,155.35,28.20,23.00
308,190409,80.63,1023,22.60,99468,155.43,28.60,23.00
309,191025,80.63,1023,22.60,99470,155.43,28.60,23.00
310,191639,81.06,1023,22.60,99471,155.77,28.60,23.00
311,192253,81.06,1023,22.60,99471,155.26,28.60,23.00
312,192872,81.50,1023,22.60,99469,155.09,29.20,22.90
313,193486,81.50,1022,22.60,99472,155.52,29.20,22.90
314,194101,82.00,1023,22.60,99469,155.09,29.20,22.90
315,194716,82.00,1022,22.60,99472,155.60,29.20,22.90
316,195334,82.50,1023,22.60,99474,155.43,29.60,23.00
317,195949,82.50,1023,22.60,99467,155.77,29.60,23.00
318,196572,83.06,1023,22.60,99472,155.35,29.60,23.00
319,197186,83.06,1023,22.60,99475,155.85,29.60,23.00
320,197804,83.63,1023,22.60,99473,155.94,29.70,23.00
321,198419,83.63,1023,22.60,99472,155.60,29.70,23.00
322,199033,84.19,1021,22.60,99464,155.69,29.70,23.00
323,199648,84.19,1022,22.60,99475,155.26,29.70,23.00
324,200266,84.75,1023,22.60,99467,155.26,29.40,23.00
325,200881,84.75,1023,22.60,99472,155.35,29.40,23.00
326,201496,85.38,1023,22.60,99469,155.35,29.40,23.00
327,202119,85.38,1023,22.60,99469,155.77,29.40,23.00
328,202760,86.06,1023,22.60,99470,155.69,29.40,23.00
329,203374,86.06,1023,22.60,99468,155.60,29.40,23.00
330,203990,86.63,1023,22.60,99470,155.60,29.40,23.00
331,204604,86.63,1023,22.60,99470,155.26,29.40,23.00
332,205222,87.19,1023,22.60,99482,155.26,29.90,23.10
333,205837,87.19,1023,22.60,99475,155.18,29.90,23.10
334,206452,87.63,1023,22.60,99477,155.35,29.90,23.10
335,207067,87.63,1023,22.60,99480,155.01,29.90,23.10
